     Temps  Consigne  Position  Commande   Courant  Vit. Axe    Moteur
        ms    degrés    degrés     Volts        mA     rad/s     rad/s
      3036      78.9      77.9       6.8       650      0.51        64
      3053      79.5      78.6       6.2       650      0.49        63
      3072      80.0      79.0       6.9       800      0.49        66
      3092      80.5      79.5       7.2       700      0.52        66
      3110      81.0      80.0       7.4       800      0.48        66
      3128      81.6      80.6       6.9       650      0.51        68
      3148      82.1      81.1       7.1       600      0.51        65
      3166      82.5      81.6       6.2       600      0.49        64
      3184      83.1      82.2       6.1       650      0.52        64
      3203      83.5      82.7       6.1       500      0.44        61
      3220      84.0      83.2       5.6       500      0.48        58
      3241      84.4      83.5       6.6       600      0.47        58
      3259      84.8      84.1       5.6       450      0.42        56
      3276      85.3      84.5       5.3       400      0.44        51
      3295      85.6      84.8       5.9       450      0.41        48
      3313      86.0      85.3       5.1       450      0.39        46
      3332      86.3      85.6       4.7       400      0.37        44
      3348      86.6      85.9       5.1       450      0.37        42
      3366      86.9      86.2       5.3       450      0.34        42
      3384      87.2      86.6       4.6       400      0.33        39
      3402      87.5      86.9       4.4       350      0.31        37
      3420      87.8      87.1       4.4       300      0.28        33
      3440      88.0      87.4       4.2       350      0.29        32
      3460      88.2      87.6       4.4       350      0.26        30
      3476      88.4      87.9       3.8       400      0.24        29
      3494      88.6      88.1       3.8       300      0.21        26
      3515      88.7      88.2       3.4       250      0.21        24
      3533      88.9      88.3       3.8       250      0.18        21
      3550      89.0      88.5       3.4       250      0.20        19
      3569      89.1      88.6       3.4       250      0.17        16
      3589      89.2      88.9       2.1       200      0.11        12
      3607      89.2      89.0       1.8       150      0.10         8
      3625      89.3      88.9       2.7       250      0.10         7
      3645      89.3      88.9       2.9       200      0.07         5
      3663      89.3      89.0       2.3       150      0.06         3
      3679      89.3      89.0       2.3       200      0.05         2
      3697      89.3      89.0       2.3       200      0.04         2
      3716      89.3      89.0       2.3       200      0.03         1
      3732      89.3      89.0       2.3       150      0.03         1
      3753      89.3      89.0       2.3       200      0.02         1
      3771      89.3      89.0       2.3       200      0.02         1
      3791      89.3      89.0       2.3       150      0.01         2
      3809      89.3      89.0       2.3       200      0.01         1
      3828      89.3      89.0       2.3       200      0.01         1
      3845      89.3      89.0       2.3       200      0.01         1
      3866      89.3      89.0       2.3       200      0.01         1
      3884      89.3      89.0       2.3       200      0.00         2
      3902      89.3      89.0       2.3       150      0.00         1
      3920      89.3      89.0       2.3       200      0.02         1
      3938      89.3      89.0       2.3       200     -0.01         1
      3959      89.3      89.1       1.6       200     -0.00         1
      3976      89.3      89.0       2.3       200     -0.10         1
      3997      89.3      89.0       2.3       150      0.00         1
