Position;longueur verin 1 en mm;longueur verin 2 en mm;longueur verin 3 en mm;longueur verin 4 en mm;longueur verin 5 en mm;longueur verin 6 en mm
209;389.001;438.345;437.968;388.62;421.412;421.386
210;388.837;438.413;438.034;388.455;421.397;421.372
211;388.674;438.48;438.1;388.29;421.383;421.357
212;388.51;438.547;438.165;388.125;421.368;421.342
213;388.347;438.614;438.23;387.96;421.353;421.327
214;388.183;438.681;438.295;387.794;421.338;421.311
215;388.019;438.748;438.36;387.629;421.322;421.296
216;387.855;438.814;438.425;387.463;421.307;421.28
217;387.691;438.88;438.489;387.297;421.291;421.264
218;387.526;438.946;438.553;387.131;421.275;421.248
219;387.362;439.012;438.617;386.965;421.258;421.232
220;387.197;439.078;438.681;386.799;421.242;421.215
221;387.033;439.143;438.744;386.632;421.225;421.198
222;386.868;439.208;438.808;386.466;421.208;421.181
223;386.703;439.273;438.871;386.299;421.191;421.164
224;386.538;439.338;438.934;386.132;421.174;421.147
225;386.373;439.403;438.996;385.966;421.157;421.129
226;386.207;439.467;439.059;385.798;421.139;421.111
227;386.042;439.532;439.121;385.631;421.121;421.093
228;385.876;439.596;439.183;385.464;421.103;421.075
229;385.71;439.659;439.245;385.297;421.085;421.057
230;385.545;439.723;439.307;385.129;421.066;421.038
231;385.379;439.786;439.369;384.961;421.048;421.019
232;385.212;439.85;439.43;384.794;421.029;421
233;385.046;439.913;439.491;384.626;421.01;420.981
234;384.88;439.975;439.552;384.458;420.991;420.962
235;384.713;440.038;439.613;384.289;420.971;420.942
236;384.547;440.1;439.673;384.121;420.951;420.922
237;384.38;440.163;439.734;383.953;420.931;420.902
238;384.213;440.225;439.794;383.784;420.911;420.882
239;384.046;440.286;439.854;383.615;420.891;420.862
240;383.879;440.348;439.913;383.447;420.871;420.841
241;383.711;440.409;439.973;383.278;420.85;420.82
242;383.544;440.471;440.032;383.109;420.829;420.799
243;383.376;440.532;440.091;382.939;420.808;420.778
244;383.209;440.592;440.15;382.77;420.787;420.757
245;383.041;440.653;440.209;382.601;420.765;420.735
246;382.873;440.713;440.268;382.431;420.744;420.713
247;382.705;440.773;440.326;382.261;420.722;420.691
248;382.537;440.833;440.384;382.092;420.7;420.669
249;382.368;440.893;440.442;381.922;420.677;420.647
250;382.2;440.953;440.5;381.751;420.655;420.624
251;382.031;441.012;440.557;381.581;420.632;420.601
252;381.863;441.071;440.614;381.411;420.609;420.578
253;381.694;441.13;440.671;381.24;420.586;420.555
254;381.525;441.189;440.728;381.07;420.563;420.532
255;381.356;441.248;440.785;380.899;420.539;420.508
256;381.187;441.306;440.841;380.728;420.516;420.484
257;381.017;441.364;440.898;380.557;420.492;420.46
258;380.848;441.422;440.954;380.386;420.468;420.436
259;380.678;441.48;441.01;380.215;420.443;420.412
260;380.508;441.537;441.065;380.044;420.419;420.387
261;380.339;441.595;441.121;379.872;420.394;420.362
262;380.169;441.652;441.176;379.701;420.369;420.337
263;379.999;441.709;441.231;379.529;420.344;420.312
264;379.828;441.765;441.286;379.357;420.319;420.287
265;379.658;441.822;441.34;379.185;420.294;420.261
266;379.488;441.878;441.395;379.013;420.268;420.235
267;379.317;441.934;441.449;378.841;420.242;420.209
268;379.146;441.99;441.503;378.669;420.216;420.183
269;378.975;442.046;441.557;378.496;420.19;420.157
270;378.804;442.101;441.611;378.324;420.163;420.13
271;378.633;442.157;441.664;378.151;420.136;420.103
272;378.462;442.212;441.717;377.978;420.11;420.076
273;378.291;442.267;441.77;377.805;420.082;420.049
274;378.119;442.321;441.823;377.632;420.055;420.022
275;377.948;442.376;441.876;377.459;420.028;419.994
276;377.776;442.43;441.928;377.285;420;419.966
277;377.604;442.484;441.98;377.112;419.972;419.938
278;377.432;442.538;442.032;376.938;419.944;419.91
279;377.26;442.592;442.084;376.765;419.916;419.882
280;377.088;442.645;442.135;376.591;419.887;419.853
281;376.916;442.698;442.187;376.417;419.859;419.824
282;376.743;442.751;442.238;376.243;419.83;419.795
283;376.571;442.804;442.289;376.069;419.801;419.766
284;376.398;442.857;442.34;375.895;419.771;419.737
285;376.225;442.909;442.39;375.72;419.742;419.707
286;376.052;442.961;442.44;375.546;419.712;419.677
287;375.879;443.013;442.491;375.371;419.682;419.647
288;375.706;443.065;442.541;375.196;419.652;419.617
289;375.533;443.117;442.59;375.021;419.622;419.587
290;375.359;443.168;442.64;374.846;419.591;419.556
291;375.186;443.219;442.689;374.671;419.561;419.525
292;375.012;443.27;442.738;374.496;419.53;419.494
293;374.838;443.321;442.787;374.321;419.499;419.463
294;374.664;443.372;442.836;374.145;419.468;419.432
295;374.49;443.422;442.884;373.969;419.436;419.4
296;374.316;443.472;442.932;373.794;419.404;419.368
297;374.142;443.522;442.98;373.618;419.373;419.336
298;373.967;443.572;443.028;373.442;419.341;419.304
299;373.793;443.621;443.076;373.266;419.308;419.272
300;373.618;443.671;443.123;373.09;419.276;419.239
301;373.443;443.72;443.171;372.913;419.243;419.206
302;373.269;443.769;443.218;372.737;419.21;419.173
303;373.094;443.817;443.264;372.56;419.177;419.14
304;372.918;443.866;443.311;372.383;419.144;419.107
305;372.743;443.914;443.357;372.207;419.11;419.073
306;372.568;443.962;443.404;372.03;419.077;419.039
307;372.392;444.01;443.45;371.853;419.043;419.005
308;372.217;444.058;443.495;371.676;419.009;418.971
309;372.041;444.105;443.541;371.498;418.975;418.937
310;371.865;444.152;443.586;371.321;418.94;418.902
311;371.689;444.2;443.631;371.143;418.906;418.867
