Position;longueur verin 1 en mm;longueur verin 2 en mm;longueur verin 3 en mm;longueur verin 4 en mm;longueur verin 5 en mm;longueur verin 6 en mm
316;369.79;445.016;444.437;369.238;418.7;418.659
317;369.61;445.063;444.482;369.056;418.663;418.622
318;369.43;445.11;444.526;368.874;418.626;418.585
319;369.249;445.157;444.571;368.693;418.589;418.548
320;369.069;445.203;444.615;368.511;418.552;418.51
321;368.889;445.249;444.66;368.329;418.514;418.473
322;368.708;445.295;444.704;368.147;418.477;418.435
323;368.527;445.34;444.747;367.965;418.439;418.397
324;368.347;445.386;444.791;367.782;418.401;418.359
325;368.166;445.431;444.834;367.6;418.362;418.32
326;367.985;445.476;444.877;367.417;418.324;418.282
327;367.804;445.521;444.92;367.235;418.285;418.243
328;367.622;445.566;444.963;367.052;418.246;418.204
329;367.441;445.61;445.006;366.869;418.207;418.165
330;367.26;445.654;445.048;366.686;418.168;418.125
331;367.078;445.698;445.09;366.503;418.129;418.086
332;366.896;445.742;445.132;366.32;418.089;418.046
333;366.714;445.785;445.173;366.136;418.049;418.006
334;366.533;445.829;445.215;365.953;418.009;417.966
335;366.35;445.872;445.256;365.769;417.969;417.925
336;366.168;445.915;445.297;365.586;417.928;417.885
337;365.986;445.957;445.338;365.402;417.888;417.844
338;365.804;446;445.378;365.218;417.847;417.803
339;365.621;446.042;445.419;365.034;417.806;417.762
340;365.438;446.084;445.459;364.85;417.764;417.72
341;365.256;446.126;445.499;364.665;417.723;417.679
342;365.073;446.167;445.538;364.481;417.681;417.637
343;364.89;446.209;445.578;364.297;417.639;417.595
344;364.707;446.25;445.617;364.112;417.597;417.553
345;364.524;446.291;445.656;363.927;417.555;417.51
346;364.34;446.332;445.695;363.742;417.512;417.467
347;364.157;446.372;445.734;363.558;417.47;417.425
348;363.973;446.413;445.772;363.372;417.427;417.382
349;363.79;446.453;445.81;363.187;417.384;417.338
350;363.606;446.493;445.848;363.002;417.34;417.295
351;363.422;446.532;445.886;362.817;417.297;417.251
352;363.238;446.572;445.923;362.631;417.253;417.208
353;363.054;446.611;445.961;362.445;417.209;417.163
354;362.869;446.65;445.998;362.26;417.165;417.119
355;362.685;446.689;446.035;362.074;417.121;417.075
356;362.501;446.727;446.071;361.888;417.076;417.03
357;362.316;446.766;446.108;361.702;417.032;416.985
358;362.131;446.804;446.144;361.516;416.987;416.94
359;361.947;446.842;446.18;361.329;416.942;416.895
360;361.762;446.879;446.216;361.143;416.896;416.85
361;361.577;446.917;446.252;360.956;416.851;416.804
362;361.392;446.954;446.287;360.77;416.805;416.758
363;361.206;446.991;446.322;360.583;416.759;416.712
364;361.021;447.028;446.357;360.396;416.713;416.666
365;360.835;447.065;446.392;360.209;416.667;416.62
366;360.65;447.101;446.426;360.022;416.62;416.573
367;360.464;447.137;446.461;359.835;416.574;416.526
368;360.278;447.173;446.495;359.648;416.527;416.479
369;360.092;447.209;446.529;359.46;416.48;416.432
370;359.906;447.245;446.562;359.273;416.432;416.384
371;359.72;447.28;446.596;359.085;416.385;416.337
372;359.534;447.315;446.629;358.898;416.337;416.289
373;359.348;447.35;446.662;358.71;416.289;416.241
374;359.161;447.385;446.695;358.522;416.241;416.193
375;358.974;447.419;446.727;358.334;416.193;416.144
376;358.788;447.454;446.76;358.145;416.144;416.096
377;358.601;447.488;446.792;357.957;416.096;416.047
378;358.414;447.521;446.824;357.769;416.047;415.998
379;358.227;447.555;446.855;357.58;415.998;415.949
380;358.04;447.588;446.887;357.392;415.948;415.899
381;357.853;447.622;446.918;357.203;415.899;415.85
382;357.665;447.655;446.949;357.014;415.849;415.8
383;357.478;447.687;446.98;356.825;415.799;415.75
384;357.29;447.72;447.011;356.636;415.749;415.7
385;357.102;447.752;447.041;356.447;415.699;415.649
386;356.915;447.784;447.071;356.258;415.648;415.599
387;356.727;447.816;447.101;356.068;415.598;415.548
388;356.539;447.848;447.131;355.879;415.547;415.497
389;356.351;447.879;447.161;355.689;415.496;415.446
390;356.162;447.91;447.19;355.5;415.445;415.394
391;355.974;447.941;447.219;355.31;415.393;415.343
392;355.786;447.972;447.248;355.12;415.341;415.291
393;355.597;448.003;447.276;354.93;415.29;415.239
394;355.408;448.033;447.305;354.74;415.238;415.187
395;355.22;448.063;447.333;354.55;415.185;415.134
396;355.031;448.093;447.361;354.359;415.133;415.082
397;354.842;448.123;447.389;354.169;415.08;415.029
398;354.653;448.152;447.417;353.978;415.027;414.976
399;354.463;448.181;447.444;353.788;414.974;414.923
400;354.274;448.21;447.471;353.597;414.921;414.87
