a1(rad)
Temps(s)   a1(rad)     
2.285360 91.421134
2.289280 91.577945
2.293200 91.734757
2.297120 91.891568
2.301040 92.048380
2.304960 92.205191
2.308880 92.362003
2.312800 92.518815
2.316720 92.675626
2.320640 92.832438
2.324560 92.989249
2.328480 93.146061
2.332400 93.302872
2.336320 93.459684
2.340240 93.616495
2.344160 93.773307
2.348080 93.930119
2.352000 94.086930
2.355920 94.243742
2.359840 94.400553
2.363760 94.557365
2.367680 94.714176
2.371600 94.870988
2.375520 95.027799
2.379440 95.184611
2.383360 95.341422
2.387280 95.498234
2.391200 95.655046
2.395120 95.811857
2.399040 95.968669
2.402960 96.125480
2.406880 96.282292
2.410800 96.439103
2.414720 96.595915
2.418640 96.752726
2.422560 96.909538
2.426480 97.066350
2.430400 97.223161
2.434320 97.379973
2.438240 97.536784
2.442160 97.693596
2.446080 97.850407
2.450000 98.007219
2.453920 98.164030
2.457840 98.320842
2.461760 98.477653
2.465680 98.634465
2.469600 98.791277
2.473520 98.948088
2.477440 99.104900
2.481360 99.261711
2.485280 99.418523
2.489200 99.575334
2.493120 99.732146
2.497040 99.888957
2.500960 100.045769
2.504880 100.202581
2.508800 100.359392
2.512720 100.516204
2.516640 100.673015
2.520560 100.829827
2.524480 100.986638
2.528400 101.143450
2.532320 101.300261
2.536240 101.457073
2.540160 101.613884
2.544080 101.770696
2.548000 101.927508
2.551920 102.084319
2.555840 102.241131
2.559760 102.397942
2.563680 102.554754
2.567600 102.711565
2.571520 102.868377
2.575440 103.025188
2.579360 103.182000
2.583280 103.338812
2.587200 103.495623
2.591120 103.652435
2.595040 103.809246
2.598960 103.966058
2.602880 104.122869
2.606800 104.279681
2.610720 104.436492
2.614640 104.593304
2.618560 104.750115
2.622480 104.906927
2.626400 105.063739
2.630320 105.220550
2.634240 105.377362
2.638160 105.534173
2.642080 105.690985
2.646000 105.847796
2.649920 106.004608
2.653840 106.161419
2.657760 106.318231
2.661680 106.475043
2.665600 106.631854
2.669520 106.788666
2.673440 106.945477
2.677360 107.102289
2.681280 107.259100
2.685200 107.415912
2.689120 107.572723
2.693040 107.729535
2.696960 107.886346
2.700880 108.043158
2.704800 108.199970
2.708720 108.356781
2.712640 108.513593
2.716560 108.670404
2.720480 108.827216
2.724400 108.984027
2.728320 109.140839
2.732240 109.297650
2.736160 109.454462
2.740080 109.611274
2.744000 109.768085
2.747920 109.924897
2.751840 110.081708
2.755760 110.238520
2.759680 110.395331
2.763600 110.552143
2.767520 110.708954
2.771440 110.865766
2.775360 111.022577
2.779280 111.179389
2.783200 111.336201
2.787120 111.493012
2.791040 111.649824
2.794960 111.806635
2.798880 111.963447
2.802800 112.120258
2.806720 112.277070
2.810640 112.433881
2.814560 112.590693
2.818480 112.747505
2.822400 112.904316
2.826320 113.061128
