a1(rad)
Temps(s)   a1(rad)     
2.990960 -1.269229
2.994880 -1.270522
2.998800 -1.271813
3.002720 -1.273105
3.006640 -1.274396
3.010560 -1.275687
3.014480 -1.276977
3.018400 -1.278267
3.022320 -1.279557
3.026240 -1.280846
3.030160 -1.282135
3.034080 -1.283424
3.038000 -1.284712
3.041920 -1.286000
3.045840 -1.287288
3.049760 -1.288575
3.053680 -1.289863
3.057600 -1.291149
3.061520 -1.292436
3.065440 -1.293722
3.069360 -1.295007
3.073280 -1.296293
3.077200 -1.297578
3.081120 -1.298863
3.085040 -1.300147
3.088960 -1.301431
3.092880 -1.302715
3.096800 -1.303999
3.100720 -1.305282
3.104640 -1.306565
3.108560 -1.307847
3.112480 -1.309129
3.116400 -1.310411
3.120320 -1.311693
3.124240 -1.312974
3.128160 -1.314255
3.132080 -1.315536
3.136000 -1.316816
3.139920 -1.318097
3.143840 -1.319376
3.147760 -1.320656
3.151680 -1.321935
3.155600 -1.323214
3.159520 -1.324493
3.163440 -1.325771
3.167360 -1.327049
3.171280 -1.328327
3.175200 -1.329604
3.179120 -1.330881
3.183040 -1.332158
3.186960 -1.333435
3.190880 -1.334711
3.194800 -1.335987
3.198720 -1.337263
3.202640 -1.338538
3.206560 -1.339814
3.210480 -1.341089
3.214400 -1.342363
3.218320 -1.343638
3.222240 -1.344912
3.226160 -1.346185
3.230080 -1.347459
3.234000 -1.348732
3.237920 -1.350005
3.241840 -1.351278
3.245760 -1.352550
3.249680 -1.353823
3.253600 -1.355095
3.257520 -1.356366
3.261440 -1.357638
3.265360 -1.358909
3.269280 -1.360180
3.273200 -1.361450
3.277120 -1.362721
3.281040 -1.363991
3.284960 -1.365261
3.288880 -1.366530
3.292800 -1.367800
3.296720 -1.369069
3.300640 -1.370338
3.304560 -1.371606
3.308480 -1.372875
3.312400 -1.374143
3.316320 -1.375411
3.320240 -1.376679
3.324160 -1.377946
3.328080 -1.379213
3.332000 -1.380480
3.335920 -1.381747
3.339840 -1.383013
3.343760 -1.384280
3.347680 -1.385546
3.351600 -1.386811
3.355520 -1.388077
3.359440 -1.389342
3.363360 -1.390607
3.367280 -1.391872
3.371200 -1.393137
3.375120 -1.394401
3.379040 -1.395666
3.382960 -1.396930
3.386880 -1.398193
3.390800 -1.399457
3.394720 -1.400720
3.398640 -1.401983
3.402560 -1.403246
3.406480 -1.404509
3.410400 -1.405771
3.414320 -1.407034
3.418240 -1.408296
3.422160 -1.409558
3.426080 -1.410819
3.430000 -1.412081
3.433920 -1.413342
3.437840 -1.414603
3.441760 -1.415864
3.445680 -1.417125
3.449600 -1.418385
3.453520 -1.419645
3.457440 -1.420905
3.461360 -1.422165
3.465280 -1.423425
3.469200 -1.424685
3.473120 -1.425944
3.477040 -1.427203
3.480960 -1.428462
3.484880 -1.429721
3.488800 -1.430979
3.492720 -1.432238
3.496640 -1.433496
3.500560 -1.434754
3.504480 -1.436012
3.508400 -1.437270
3.512320 -1.438527
3.516240 -1.439784
3.520160 -1.441042
3.524080 -1.442299
3.528000 -1.443555
3.531920 -1.444812
3.535840 -1.446069
3.539760 -1.447325
3.543680 -1.448581
3.547600 -1.449837
3.551520 -1.451093
3.555440 -1.452349
3.559360 -1.453604
3.563280 -1.454860
3.567200 -1.456115
3.571120 -1.457370
3.575040 -1.458625
3.578960 -1.459880
3.582880 -1.461134
3.586800 -1.462389
3.590720 -1.463643
3.594640 -1.464897
3.598560 -1.466151
3.602480 -1.467405
3.606400 -1.468659
3.610320 -1.469913
3.614240 -1.471166
3.618160 -1.472420
3.622080 -1.473673
3.626000 -1.474926
3.629920 -1.476179
3.633840 -1.477432
3.637760 -1.478685
3.641680 -1.479937
3.645600 -1.481190
3.649520 -1.482442
3.653440 -1.483694
3.657360 -1.484946
3.661280 -1.486198
3.665200 -1.487450
3.669120 -1.488702
3.673040 -1.489954
3.676960 -1.491205
3.680880 -1.492457
3.684800 -1.493708
3.688720 -1.494959
3.692640 -1.496210
3.696560 -1.497461
3.700480 -1.498712
3.704400 -1.499963
3.708320 -1.501214
3.712240 -1.502464
3.716160 -1.503715
3.720080 -1.504965
3.724000 -1.506215
3.727920 -1.507466
3.731840 -1.508716
3.735760 -1.509966
3.739680 -1.511216
3.743600 -1.512466
3.747520 -1.513715
3.751440 -1.514965
3.755360 -1.516215
3.759280 -1.517464
3.763200 -1.518714
3.767120 -1.519963
3.771040 -1.521213
3.774960 -1.522462
3.778880 -1.523711
3.782800 -1.524960
3.786720 -1.526209
3.790640 -1.527458
3.794560 -1.528707
3.798480 -1.529956
3.802400 -1.531205
3.806320 -1.532453
3.810240 -1.533702
3.814160 -1.534951
3.818080 -1.536199
3.822000 -1.537448
3.825920 -1.538696
3.829840 -1.539945
3.833760 -1.541193
3.837680 -1.542442
3.841600 -1.543690
3.845520 -1.544938
3.849440 -1.546186
3.853360 -1.547435
3.857280 -1.548683
3.861200 -1.549931
3.865120 -1.551179
3.869040 -1.552427
3.872960 -1.553675
3.876880 -1.554923
3.880800 -1.556171
3.884720 -1.557419
3.888640 -1.558667
3.892560 -1.559915
3.896480 -1.561163
3.900400 -1.562411
3.904320 -1.563658
3.908240 -1.564906
3.912160 -1.566154
3.916080 -1.567402
3.920000 -1.568650

Valeur mini ordonnée    = -1.568650
Valeur maxi ordonnée    = 0.000000